









Frequency of observations in the selected location(s).:
Number of taxa: 	424

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Mallard/American Black Duck	6.487E-4	0.0	0.0011062	0.0018709	6.345E-4	5.189E-4	0.0	5.698E-4	5.195E-4	9.456E-4	0.0014354	6.969E-4	4.148E-4	0.0013556	4.357E-4	3.321E-4	0.0	0.0	8.15E-4	0.0011769	0.0013652	8.026E-4	9.217E-4	0.0	0.0	0.0	0.0	7.003E-4	9.95E-4	9.208E-4	0.0016653	0.0020377	7.112E-4	7.605E-4	8.658E-4	0.00123	0.0020408	6.821E-4	7.092E-4	4.914E-4	7.364E-4	8.425E-4	0.0	7.599E-4	0.001002	0.0	0.0	0.0	
Northern Pintail	0.003568	0.0103896	0.0060841	0.0042095	0.017132	0.0015568	0.0066745	0.017094	0.0296104	0.0137116	0.0277512	0.0195122	0.0087101	0.0081338	0.0043573	0.0016606	5.774E-4	3.04E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.326E-4	0.0	0.0	0.0022814	0.0034632	0.0073801	0.0136054	0.0109141	0.0070922	0.0191646	0.0198822	0.0126369	0.0095163	0.0091185	0.003006	0.0107817	0.0038168	0.0124427	
Mallard x Northern Pintail (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.698E-4	5.195E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001002	0.0	0.0	0.0	
Green-winged Teal	0.0016218	0.001039	0.0011062	9.355E-4	0.0	5.189E-4	0.0066745	0.0096866	0.0197403	0.0411348	0.0660287	0.0867596	0.0788055	0.0736557	0.0705882	0.0441714	0.0129908	0.0042566	8.15E-4	0.0054923	6.826E-4	0.0	0.0018433	0.0	0.001105	0.0035336	0.0	7.003E-4	0.0	0.0	0.0041632	0.0086602	0.0056899	0.0129278	0.0233766	0.0258303	0.0272109	0.0375171	0.0468085	0.0432432	0.0515464	0.0362258	0.0206186	0.0197568	0.0130261	0.0098832	0.0061069	0.0013098	
teal sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.456E-4	0.0	0.0	4.148E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.003E-4	0.0	0.0	0.0	0.0	0.0021337	0.0015209	0.0	0.0	6.803E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
dabbling duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014354	3.484E-4	0.0012443	0.0018075	4.357E-4	0.0	0.0	0.0	8.15E-4	0.0	0.0	0.0	9.217E-4	0.0	0.0	0.0	0.0010965	0.0014006	0.0	0.0	0.0	0.0010188	0.0014225	7.605E-4	8.658E-4	0.0	0.0013605	6.821E-4	0.0035461	0.0029484	0.0	0.0016849	0.0023791	0.0	0.0	8.985E-4	0.0015267	6.549E-4	
Canvasback	0.1268245	0.1392208	0.1570796	0.1365762	0.1643401	0.1499741	0.1130742	0.1931624	0.2114286	0.2023641	0.1976077	0.2010453	0.138117	0.0944419	0.0610022	0.0378612	0.0204965	0.0106415	0.0036675	0.0043154	0.0047782	8.026E-4	0.0018433	7.452E-4	0.0033149	0.0	0.0032895	0.0028011	0.0099502	9.208E-4	0.0041632	5.094E-4	0.0071124	0.0030418	8.658E-4	0.003075	0.0054422	0.0068213	0.022695	0.0275184	0.0382916	0.0564448	0.0626487	0.0691489	0.0841683	0.1176999	0.0992366	0.1597904	
Redhead	0.1102822	0.105974	0.1266593	0.1066417	0.1491117	0.13233	0.1138594	0.1840456	0.1984416	0.2	0.1933014	0.1749129	0.1298217	0.0994126	0.0675381	0.0302225	0.0141455	0.0094254	0.0093725	0.0086308	0.0027304	0.0024077	9.217E-4	0.0	0.001105	0.0	0.0098684	0.0105042	0.0199005	0.0092081	0.0058285	0.0015283	0.002845	0.0022814	0.0121212	0.0418204	0.0632653	0.0709413	0.0879433	0.1095823	0.1480118	0.1516428	0.1324346	0.1398176	0.1192385	0.1365678	0.0885496	0.1250819	
Ring-necked Duck	0.0418424	0.0264935	0.0265487	0.0341441	0.0666244	0.044629	0.0459364	0.0911681	0.1049351	0.1678487	0.1961722	0.2132404	0.1816674	0.1224582	0.069281	0.0275656	0.0129908	0.0021283	8.15E-4	3.923E-4	0.0	0.0	0.002765	0.0022355	0.0	0.0011779	0.0032895	0.0021008	0.0049751	9.208E-4	0.0024979	5.094E-4	0.0021337	0.0	0.0025974	0.0123001	0.0272109	0.0395634	0.077305	0.0938575	0.1170839	0.0800337	0.0658208	0.0615502	0.0460922	0.0287511	0.0236641	0.0294695	
Redhead x Ring-necked Duck (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.698E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
