species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valley_types,is_overwintering,edge_case_flags
Yellow-bellied Flycatcher,two-passage-migrant,two-passage,0.026428,0.0,0.0,15,2,summer|winter,No,classic_bimodal
Acadian Flycatcher,single-season,summer,0.056026,0.0,0.0,19,1,winter,No,
Alder Flycatcher,single-season,summer,0.027265,0.0,0.0,14,1,winter,No,low_presence
Willow Flycatcher,single-season,summer,0.117698,0.0,0.0,18,1,winter,No,
Least Flycatcher,two-passage-migrant,two-passage,0.098154,0.0,0.0,22,2,summer|winter,No,classic_bimodal
Eastern Phoebe,single-season,summer,0.195155,0.0,0.0,46,1,winter,No,
Great Crested Flycatcher,single-season,summer,0.255588,0.0,0.0,23,1,winter,No,
Western Kingbird,vagrant,irregular,0.006987,0.0,0.0,1,1,winter,No,
Eastern Kingbird,single-season,summer,0.280572,0.0,0.0,22,1,winter,No,
White-eyed Vireo,two-passage-migrant,two-passage,0.013229,0.0,0.0,17,2,summer|winter,No,classic_bimodal
Yellow-throated Vireo,single-season,summer,0.139456,0.0,0.0,24,1,winter,No,
Blue-headed Vireo,two-passage-migrant,two-passage,0.112025,0.0,0.0,28,2,summer|winter,No,classic_bimodal
Philadelphia Vireo,two-passage-migrant,two-passage,0.057917,0.0,0.0,12,2,summer|winter,No,classic_bimodal|low_presence
Eastern Warbling Vireo,single-season,summer,0.333171,0.0,0.0,24,1,winter,No,
Red-eyed Vireo,single-season,summer,0.354826,0.0,0.0,26,1,winter,No,
Loggerhead Shrike,vagrant,irregular,0.005946,0.0,0.0,7,1,winter,No,
Northern Shrike,single-season,winter,0.009931,0.0,0.0,22,1,summer,Yes,overwintering
Blue Jay,resident,year-round,0.771777,0.359808,0.4662,48,0,,No,seasonal_variation
American Crow,resident,year-round,0.521561,0.313883,0.6018,48,0,,No,
Black-capped Chickadee,resident,year-round,0.613586,0.315917,0.5149,48,0,,No,
Boreal Chickadee,vagrant,irregular,0.0015,0.0,0.0,2,1,winter,No,low_peak_frequency
Tufted Titmouse,resident,year-round,0.480634,0.214196,0.4457,48,0,,No,seasonal_variation
Horned Lark,single-season,winter,0.086439,0.005441,0.0629,48,1,summer,No,overwintering
Bank Swallow,single-season,summer,0.042436,0.0,0.0,22,1,winter,No,
Tree Swallow,single-season,summer,0.333333,0.0,0.0,34,1,winter,No,
